date,FSLR,SPWR,ENPH,SEDG,NEE,CL=F,BZ=F,NG=F,COAL.AX,XLE
2015-01-02,44.54999923706055,,14.210000038146973,,20.324466705322266,52.689998626708984,56.41999816894531,3.003000020980835,,52.31099319458008
2015-01-05,41.83000183105469,,13.880000114440918,,20.109201431274414,50.040000915527344,53.11000061035156,2.881999969482422,,50.1469841003418
2015-01-06,40.86000061035156,,12.9399995803833,,20.187305450439453,47.93000030517578,51.099998474121094,2.937999963760376,,49.41031265258789
2015-01-07,41.75,,11.399999618530273,,20.372085571289062,48.650001525878906,51.150001525878906,2.871000051498413,,49.515560150146484
2015-01-08,43.630001068115234,,11.729999542236328,,20.49591064453125,48.790000915527344,50.959999084472656,2.927000045776367,,50.627140045166016
2015-01-09,44.20000076293945,,11.529999732971191,,20.31494140625,48.36000061035156,50.11000061035156,2.946000099182129,,50.225921630859375
2015-01-12,42.83000183105469,,10.90999984741211,,20.26350212097168,46.06999969482422,47.43000030517578,2.7950000762939453,,48.77888488769531
2015-01-13,42.709999084472656,,11.029999732971191,,20.343517303466797,45.88999938964844,46.59000015258789,2.943000078201294,,48.39079666137695
2015-01-14,42.279998779296875,,10.8100004196167,,20.469242095947266,48.47999954223633,48.689998626708984,3.2330000400543213,,48.54207229614258
2015-01-15,40.15999984741211,,10.270000457763672,,20.391141891479492,46.25,47.66999816894531,3.1579999923706055,,47.923797607421875
2015-01-16,40.720001220703125,,10.779999732971191,,20.615938186645508,48.689998626708984,47.689998626708984,3.127000093460083,,49.482669830322266
2015-01-20,39.83000183105469,,10.600000381469727,,20.751188278198242,46.38999938964844,47.9900016784668,2.8310000896453857,,49.54186248779297
2015-01-21,41.400001525878906,,10.430000305175781,,20.934066772460938,47.779998779296875,49.029998779296875,2.9739999771118164,,50.548221588134766
2015-01-22,41.900001525878906,,11.010000228881836,,20.869293212890625,46.310001373291016,48.52000045776367,2.8350000381469727,,50.78501510620117
2015-01-23,42.540000915527344,,11.84000015258789,,20.855960845947266,45.59000015258789,48.790000915527344,2.9860000610351562,,50.423248291015625
2015-01-26,44.16999816894531,,12.109999656677246,,20.90739631652832,45.150001525878906,48.15999984741211,2.88100004196167,,51.14678955078125
2015-01-27,43.720001220703125,,12.130000114440918,,21.18743324279785,46.22999954223633,49.599998474121094,2.9809999465942383,,51.1138916015625
2015-01-28,42.70000076293945,,12.09000015258789,,20.939781188964844,44.45000076293945,48.470001220703125,2.865999937057495,,49.10117721557617
2015-01-29,42.36000061035156,,12.979999542236328,,21.271249771118164,44.529998779296875,49.130001068115234,2.7190001010894775,,49.26560592651367
2015-01-30,42.31999969482422,,12.390000343322754,,20.81024169921875,48.2400016784668,52.9900016784668,2.690999984741211,,49.693153381347656
